Ball's radius: 1m
Start condition z0: 6m
Start condition v0: 2m/s

Time:	z(t):	v_z(t):	E(t)	Energy error:
20	-5.07655	3.23936	115292	12173.3
0	6.17336	0.77375	127465	1.45519e-11
0.125	6.19344	-0.4525	127465	2.91038e-11
0.25	6.06023	-1.67875	127465	2.91038e-11
0.375	5.77375	-2.905	127465	2.91038e-11
0.5	5.33398	-4.13125	127465	4.36557e-11
0.625	4.74094	-5.3575	127465	5.82077e-11
0.75	3.99461	-6.58375	127465	4.36557e-11
0.875	3.095	-7.81	127465	4.36557e-11
1	2.04211	-9.03625	127465	4.36557e-11
1.125	0.835938	-10.2547	127362	103.268
1.25	-0.48386	-10.5325	131672	4206.83
1.375	-1.73223	-9.37386	127607	141.981
1.5	-2.82732	-8.14761	127607	141.981
1.625	-3.76913	-6.92136	127607	141.981
1.75	-4.55766	-5.69511	127607	141.981
1.875	-5.19291	-4.46886	127607	141.981
2	-5.67488	-3.24261	127607	141.981
2.125	-6.00356	-2.01636	127607	141.981
2.25	-6.17897	-0.790106	127607	141.981
2.375	-6.20109	0.436144	127607	141.981
2.5	-6.06993	1.66239	127607	141.981
2.625	-5.78549	2.88864	127607	141.981
2.75	-5.34777	4.11489	127607	141.981
2.875	-4.75677	5.34114	127607	141.981
3	-4.01248	6.56739	127607	141.981
3.125	-3.11492	7.79364	127607	141.981
3.25	-2.06407	9.01989	127607	141.981
3.375	-0.859944	10.2404	129826	2360.63
3.5	0.460151	10.5551	128110	645.117
3.625	1.71205	9.40208	127747	282.261
3.75	2.81067	8.17583	127747	282.261
3.875	3.75601	6.94958	127747	282.261
4	4.54807	5.72333	127747	282.261
4.125	5.18684	4.49708	127747	282.261
4.25	5.67234	3.27083	127747	282.261
4.375	6.00455	2.04458	127747	282.261
4.5	6.18348	0.818329	127747	282.261
4.625	6.20913	-0.407921	127747	282.261
4.75	6.0815	-1.63417	127747	282.261
4.875	5.80059	-2.86042	127747	282.261
5	5.36639	-4.08667	127747	282.261
5.125	4.77892	-5.31292	127747	282.261
5.25	4.03816	-6.53917	127747	282.261
5.375	3.14413	-7.76542	127747	282.261
5.5	2.09681	-8.99167	127747	282.261
5.625	0.896209	-10.2147	127696	230.676
5.75	-0.423737	-10.5847	131983	4518.25
5.875	-1.68046	-9.44067	127860	394.788
6	-2.78391	-8.21442	127860	394.788
6.125	-3.73407	-6.98817	127860	394.788
6.25	-4.53095	-5.76192	127860	394.788
6.375	-5.17455	-4.53567	127860	394.788
6.5	-5.66487	-3.30942	127860	394.788
6.625	-6.00191	-2.08317	127860	394.788
6.75	-6.18566	-0.856924	127860	394.788
6.875	-6.21614	0.369326	127860	394.788
7	-6.09333	1.59558	127860	394.788
7.125	-5.81724	2.82183	127860	394.788
7.25	-5.38787	4.04808	127860	394.788
7.375	-4.80522	5.27433	127860	394.788
7.5	-4.06929	6.50058	127860	394.788
7.625	-3.18008	7.72683	127860	394.788
7.75	-2.13759	8.95308	127860	394.788
7.875	-0.94181	10.1783	128934	1469.3
8	0.377254	10.6166	128731	1266.24
8.125	1.63946	9.48452	127886	421.296
8.25	2.74838	8.25827	127886	421.296
8.375	3.70403	7.03202	127886	421.296
8.5	4.50639	5.80577	127886	421.296
8.625	5.15547	4.57952	127886	421.296
8.75	5.65127	3.35327	127886	421.296
8.875	5.99379	2.12702	127886	421.296
9	6.18302	0.90077	127886	421.296
9.125	6.21898	-0.32548	127886	421.296
9.25	6.10165	-1.55173	127886	421.296
9.375	5.83105	-2.77798	127886	421.296
9.5	5.40716	-4.00423	127886	421.296
9.625	4.82999	-5.23048	127886	421.296
9.75	4.09954	-6.45673	127886	421.296
9.875	3.21581	-7.68298	127886	421.296
10	2.17879	-8.90923	127886	421.296
10.125	0.988499	-10.1354	127885	420.462
10.25	-0.328737	-10.6419	131980	4515.4
10.375	-1.59577	-9.52329	127760	295.364
10.5	-2.70954	-8.29704	127760	295.364
10.625	-3.67003	-7.07079	127760	295.364
10.75	-4.47724	-5.84454	127760	295.364
10.875	-5.13116	-4.61829	127760	295.364
11	-5.63181	-3.39204	127760	295.364
11.125	-5.97917	-2.16579	127760	295.364
11.25	-6.17326	-0.939544	127760	295.364
11.375	-6.21406	0.286706	127760	295.364
11.5	-6.10158	1.51296	127760	295.364
11.625	-5.83582	2.73921	127760	295.364
11.75	-5.41678	3.96546	127760	295.364
11.875	-4.84446	5.19171	127760	295.364
12	-4.11885	6.41796	127760	295.364
12.125	-3.23997	7.64421	127760	295.364
12.25	-2.2078	8.87046	127760	295.364
12.375	-1.02235	10.0967	127760	295.364
12.5	0.292476	10.6519	128998	1533.41
12.625	1.56218	9.54602	127524	59.0795
12.75	2.67879	8.31977	127524	59.0795
12.875	3.64212	7.09352	127524	59.0795
13	4.45217	5.86727	127524	59.0795
13.125	5.10894	4.64102	127524	59.0795
13.25	5.61242	3.41477	127524	59.0795
13.375	5.96263	2.18852	127524	59.0795
13.5	6.15955	0.962271	127524	59.0795
13.625	6.2032	-0.263979	127524	59.0795
13.75	6.09356	-1.49023	127524	59.0795
13.875	5.83064	-2.71648	127524	59.0795
14	5.41444	-3.94273	127524	59.0795
14.125	4.84496	-5.16898	127524	59.0795
14.25	4.12219	-6.39523	127524	59.0795
14.375	3.24615	-7.62148	127524	59.0795
14.5	2.21683	-8.84773	127524	59.0795
14.625	1.03422	-10.074	127524	59.0795
14.75	-0.278642	-10.6469	131466	4001.16
14.875	-1.54832	-9.5468	127255	210.06
15	-2.66503	-8.32055	127255	210.06
15.125	-3.62846	-7.0943	127255	210.06
15.25	-4.43861	-5.86805	127255	210.06
15.375	-5.09547	-4.6418	127255	210.06
15.5	-5.59905	-3.41555	127255	210.06
15.625	-5.94936	-2.1893	127255	210.06
15.75	-6.14638	-0.963046	127255	210.06
15.875	-6.19012	0.263204	127255	210.06
16	-6.08058	1.48945	127255	210.06
16.125	-5.81776	2.7157	127255	210.06
16.25	-5.40165	3.94195	127255	210.06
16.375	-4.83227	5.1682	127255	210.06
16.5	-4.1096	6.39445	127255	210.06
16.625	-3.23365	7.6207	127255	210.06
16.75	-2.20442	8.84695	127255	210.06
16.875	-1.02191	10.0732	127255	210.06
17	0.290046	10.6302	128503	1037.67
17.125	1.55714	9.52542	127009	455.687
