Ball's radius: 1m
Start condition z0: 6m
Start condition v0: 2m/s

Time:	z(t):	v_z(t):	E(t)	Energy error:
6.84375	-6.15773	-0.952381	127467	1.81027
6.85938	-6.17142	-0.7991	127467	1.81027
6.875	-6.1827	-0.645819	127467	1.81027
6.89063	-6.1916	-0.492537	127467	1.81027
6.90625	-6.1981	-0.339256	127467	1.81027
6.92188	-6.2022	-0.185975	127467	1.81027
6.9375	-6.20391	-0.0326936	127467	1.81027
6.95313	-6.20322	0.120588	127467	1.81027
6.96875	-6.20014	0.273869	127467	1.81027
6.98438	-6.19466	0.42715	127467	1.81027
7	-6.18679	0.580431	127467	1.81027
7.01563	-6.17652	0.733713	127467	1.81027
7.03125	-6.16386	0.886994	127467	1.81027
7.04688	-6.14881	1.04028	127467	1.81027
7.0625	-6.13135	1.19356	127467	1.81027
7.07813	-6.11151	1.34684	127467	1.81027
7.09375	-6.08926	1.50012	127467	1.81027
7.10938	-6.06463	1.6534	127467	1.81027
7.125	-6.0376	1.80668	127467	1.81027
7.14063	-6.00817	1.95996	127467	1.81027
7.15625	-5.97635	2.11324	127467	1.81027
7.17188	-5.94213	2.26653	127467	1.81027
7.1875	-5.90552	2.41981	127467	1.81027
7.20313	-5.86651	2.57309	127467	1.81027
7.21875	-5.82511	2.72637	127467	1.81027
7.23438	-5.78131	2.87965	127467	1.81027
7.25	-5.73512	3.03293	127467	1.81027
7.26563	-5.68653	3.18621	127467	1.81027
7.28125	-5.63555	3.33949	127467	1.81027
7.29688	-5.58217	3.49278	127467	1.81027
7.3125	-5.5264	3.64606	127467	1.81027
7.32813	-5.46823	3.79934	127467	1.81027
7.34375	-5.40767	3.95262	127467	1.81027
7.35938	-5.34472	4.1059	127467	1.81027
7.375	-5.27936	4.25918	127467	1.81027
7.39063	-5.21162	4.41246	127467	1.81027
7.40625	-5.14147	4.56574	127467	1.81027
7.42188	-5.06894	4.71903	127467	1.81027
7.4375	-4.994	4.87231	127467	1.81027
7.45313	-4.91668	5.02559	127467	1.81027
7.46875	-4.83695	5.17887	127467	1.81027
7.48438	-4.75484	5.33215	127467	1.81027
7.5	-4.67032	5.48543	127467	1.81027
7.51563	-4.58342	5.63871	127467	1.81027
7.53125	-4.49411	5.79199	127467	1.81027
7.54688	-4.40242	5.94528	127467	1.81027
7.5625	-4.30833	6.09856	127467	1.81027
7.57813	-4.21184	6.25184	127467	1.81027
7.59375	-4.11296	6.40512	127467	1.81027
7.60938	-4.01168	6.5584	127467	1.81027
7.625	-3.90801	6.71168	127467	1.81027
7.64063	-3.80194	6.86496	127467	1.81027
7.65625	-3.69348	7.01824	127467	1.81027
7.67188	-3.58262	7.17153	127467	1.81027
7.6875	-3.46936	7.32481	127467	1.81027
7.70313	-3.35372	7.47809	127467	1.81027
7.71875	-3.23567	7.63137	127467	1.81027
7.73438	-3.11524	7.78465	127467	1.81027
7.75	-2.9924	7.93793	127467	1.81027
7.76563	-2.86718	8.09121	127467	1.81027
7.78125	-2.73955	8.24449	127467	1.81027
7.79688	-2.60954	8.39778	127467	1.81027
7.8125	-2.47712	8.55106	127467	1.81027
7.82813	-2.34232	8.70434	127467	1.81027
7.84375	-2.20511	8.85762	127467	1.81027
7.85938	-2.06552	9.0109	127467	1.81027
7.875	-1.92352	9.16418	127467	1.81027
7.89063	-1.77913	9.31746	127467	1.81027
7.90625	-1.63235	9.47074	127467	1.81027
7.92188	-1.48317	9.62403	127467	1.81027
7.9375	-1.3316	9.77731	127467	1.81027
7.95313	-1.17763	9.93059	127467	1.81027
7.96875	-1.02127	10.0839	127467	1.81027
7.98438	-0.862516	10.236	129748	2283.42
8	-0.701445	10.3787	131244	3778.81
8.01563	-0.538279	10.5027	131783	4318.5
8.03125	-0.373375	10.6	131636	4170.91
8.04688	-0.207198	10.6648	131049	3584.2
8.0625	-0.0402912	10.693	130242	2776.97
8.07813	0.12676	10.6831	129394	1929.05
8.09375	0.29336	10.6356	128639	1174.16
8.10938	0.458941	10.5534	128060	595.575
8.125	0.622997	10.4414	127690	225.437
8.14063	0.785115	10.3066	127512	47.57
8.15625	0.945005	10.1577	127468	2.90637
8.17188	1.10252	10.0046	127468	2.81075
8.1875	1.25765	9.85128	127468	2.81075
8.20313	1.41038	9.698	127468	2.81075
8.21875	1.56071	9.54471	127468	2.81075
8.23438	1.70865	9.39143	127468	2.81075
8.25	1.85419	9.23815	127468	2.81075
8.26563	1.99734	9.08487	127468	2.81075
8.28125	2.13809	8.93159	127468	2.81075
8.29688	2.27645	8.77831	127468	2.81075
8.3125	2.41242	8.62503	127468	2.81075
8.32813	2.54598	8.47175	127468	2.81075
8.34375	2.67716	8.31846	127468	2.81075
8.35938	2.80594	8.16518	127468	2.81075
8.375	2.93232	8.0119	127468	2.81075
8.39063	3.05631	7.85862	127468	2.81075
8.40625	3.1779	7.70534	127468	2.81075
8.42188	3.2971	7.55206	127468	2.81075
8.4375	3.4139	7.39878	127468	2.81075
8.45313	3.52831	7.2455	127468	2.81075
8.46875	3.64033	7.09221	127468	2.81075
8.48438	3.74994	6.93893	127468	2.81075
8.5	3.85717	6.78565	127468	2.81075
8.51563	3.962	6.63237	127468	2.81075
8.53125	4.06443	6.47909	127468	2.81075
8.54688	4.16447	6.32581	127468	2.81075
8.5625	4.26211	6.17253	127468	2.81075
8.57813	4.35736	6.01925	127468	2.81075
8.59375	4.45021	5.86596	127468	2.81075
8.60938	4.54067	5.71268	127468	2.81075
8.625	4.62873	5.5594	127468	2.81075
8.64063	4.7144	5.40612	127468	2.81075
8.65625	4.79767	5.25284	127468	2.81075
8.67188	4.87855	5.09956	127468	2.81075
8.6875	4.95704	4.94628	127468	2.81075
8.70313	5.03312	4.793	127468	2.81075
8.71875	5.10682	4.63971	127468	2.81075
8.73438	5.17811	4.48643	127468	2.81075
8.75	5.24702	4.33315	127468	2.81075
8.76563	5.31353	4.17987	127468	2.81075
8.78125	5.37764	4.02659	127468	2.81075
8.79688	5.43936	3.87331	127468	2.81075
8.8125	5.49868	3.72003	127468	2.81075
8.82813	5.55561	3.56675	127468	2.81075
8.84375	5.61014	3.41346	127468	2.81075
8.85938	5.66228	3.26018	127468	2.81075
8.875	5.71202	3.1069	127468	2.81075
8.89063	5.75937	2.95362	127468	2.81075
8.90625	5.80432	2.80034	127468	2.81075
8.92188	5.84688	2.64706	127468	2.81075
8.9375	5.88704	2.49378	127468	2.81075
8.95313	5.92481	2.3405	127468	2.81075
8.96875	5.96018	2.18721	127468	2.81075
8.98438	5.99316	2.03393	127468	2.81075
9	6.02374	1.88065	127468	2.81075
9.01563	6.05193	1.72737	127468	2.81075
9.03125	6.07772	1.57409	127468	2.81075
9.04688	6.10112	1.42081	127468	2.81075
9.0625	6.12212	1.26753	127468	2.81075
9.07813	6.14073	1.11425	127468	2.81075
9.09375	6.15694	0.960964	127468	2.81075
9.10938	6.17076	0.807683	127468	2.81075
9.125	6.18218	0.654401	127468	2.81075
9.14063	6.19121	0.50112	127468	2.81075
9.15625	6.19784	0.347839	127468	2.81075
9.17188	6.20208	0.194558	127468	2.81075
9.1875	6.20392	0.0412763	127468	2.81075
9.20313	6.20337	-0.112005	127468	2.81075
9.21875	6.20042	-0.265286	127468	2.81075
9.23438	6.19508	-0.418567	127468	2.81075
9.25	6.18734	-0.571849	127468	2.81075
9.26563	6.17721	-0.72513	127468	2.81075
9.28125	6.16468	-0.878411	127468	2.81075
9.29688	6.14976	-1.03169	127468	2.81075
9.3125	6.13244	-1.18497	127468	2.81075
9.32813	6.11273	-1.33825	127468	2.81075
9.34375	6.09062	-1.49154	127468	2.81075
9.35938	6.06612	-1.64482	127468	2.81075
9.375	6.03922	-1.7981	127468	2.81075
9.39063	6.00993	-1.95138	127468	2.81075
9.40625	5.97824	-2.10466	127468	2.81075
9.42188	5.94416	-2.25794	127468	2.81075
9.4375	5.90768	-2.41122	127468	2.81075
9.45313	5.86881	-2.5645	127468	2.81075
9.46875	5.82754	-2.71779	127468	2.81075
9.48438	5.78388	-2.87107	127468	2.81075
9.5	5.73782	-3.02435	127468	2.81075
9.51563	5.68937	-3.17763	127468	2.81075
9.53125	5.63852	-3.33091	127468	2.81075
9.54688	5.58527	-3.48419	127468	2.81075
9.5625	5.52964	-3.63747	127468	2.81075
9.57813	5.4716	-3.79075	127468	2.81075
9.59375	5.41118	-3.94404	127468	2.81075
9.60938	5.34835	-4.09732	127468	2.81075
9.625	5.28313	-4.2506	127468	2.81075
9.64063	5.21552	-4.40388	127468	2.81075
9.65625	5.14551	-4.55716	127468	2.81075
9.67188	5.07311	-4.71044	127468	2.81075
9.6875	4.99831	-4.86372	127468	2.81075
9.70313	4.92112	-5.017	127468	2.81075
9.71875	4.84153	-5.17029	127468	2.81075
9.73438	4.75955	-5.32357	127468	2.81075
9.75	4.67517	-5.47685	127468	2.81075
9.76563	4.5884	-5.63013	127468	2.81075
9.78125	4.49923	-5.78341	127468	2.81075
9.79688	4.40766	-5.93669	127468	2.81075
9.8125	4.31371	-6.08997	127468	2.81075
9.82813	4.21735	-6.24325	127468	2.81075
9.84375	4.1186	-6.39654	127468	2.81075
9.85938	4.01746	-6.54982	127468	2.81075
9.875	3.91392	-6.7031	127468	2.81075
9.89063	3.80799	-6.85638	127468	2.81075
9.90625	3.69966	-7.00966	127468	2.81075
9.92188	3.58894	-7.16294	127468	2.81075
9.9375	3.47582	-7.31622	127468	2.81075
9.95313	3.3603	-7.4695	127468	2.81075
9.96875	3.2424	-7.62279	127468	2.81075
9.98438	3.12209	-7.77607	127468	2.81075
10	2.99939	-7.92935	127468	2.81075
10.0156	2.8743	-8.08263	127468	2.81075
10.0313	2.74681	-8.23591	127468	2.81075
10.0469	2.61693	-8.38919	127468	2.81075
10.0625	2.48465	-8.54247	127468	2.81075
10.0781	2.34998	-8.69575	127468	2.81075
10.0938	2.21291	-8.84904	127468	2.81075
10.1094	2.07344	-9.00232	127468	2.81075
10.125	1.93158	-9.1556	127468	2.81075
10.1406	1.78733	-9.30888	127468	2.81075
10.1563	1.64068	-9.46216	127468	2.81075
10.1719	1.49164	-9.61544	127468	2.81075
10.1875	1.3402	-9.76872	127468	2.81075
10.2031	1.18637	-9.922	127468	2.81075
10.2188	1.03014	-10.0753	127468	2.81075
10.2344	0.871516	-10.2276	127478	13.4659
10.25	0.71057	-10.3712	127575	109.789
10.2656	0.547513	-10.4964	127836	371.486
10.2813	0.382694	-10.5954	128304	838.627
10.2969	0.216575	-10.6621	128971	1505.63
10.3125	0.0496927	-10.6925	129782	2316.91
10.3281	-0.117367	-10.6847	130630	3165.6
10.3438	-0.284008	-10.6393	131361	3895.97
10.3594	-0.449662	-10.5589	131774	4309.22
10.375	-0.613817	-10.4484	131637	4171.91
10.3906	-0.776054	-10.3147	130690	3225.45
10.4063	-0.936075	-10.1664	128660	1194.71
10.4219	-1.09373	-10.0132	127469	3.88788
10.4375	-1.24899	-9.85995	127469	3.88788
10.4531	-1.40185	-9.70667	127469	3.88788
10.4688	-1.55232	-9.55338	127469	3.88788
10.4844	-1.7004	-9.4001	127469	3.88788
10.5	-1.84607	-9.24682	127469	3.88788
10.5156	-1.98936	-9.09354	127469	3.88788
10.5313	-2.13025	-8.94026	127469	3.88788
10.5469	-2.26874	-8.78698	127469	3.88788
10.5625	-2.40484	-8.6337	127469	3.88788
10.5781	-2.53855	-8.48042	127469	3.88788
10.5938	-2.66985	-8.32713	127469	3.88788
10.6094	-2.79877	-8.17385	127469	3.88788
10.625	-2.92529	-8.02057	127469	3.88788
10.6406	-3.04941	-7.86729	127469	3.88788
10.6563	-3.17114	-7.71401	127469	3.88788
10.6719	-3.29047	-7.56073	127469	3.88788
10.6875	-3.40741	-7.40745	127469	3.88788
10.7031	-3.52196	-7.25417	127469	3.88788
10.7188	-3.63411	-7.10088	127469	3.88788
10.7344	-3.74386	-6.9476	127469	3.88788
10.75	-3.85122	-6.79432	127469	3.88788
10.7656	-3.95618	-6.64104	127469	3.88788
10.7813	-4.05875	-6.48776	127469	3.88788
10.7969	-4.15892	-6.33448	127469	3.88788
10.8125	-4.2567	-6.1812	127469	3.88788
10.8281	-4.35209	-6.02792	127469	3.88788
10.8438	-4.44508	-5.87463	127469	3.88788
10.8594	-4.53567	-5.72135	127469	3.88788
10.875	-4.62387	-5.56807	127469	3.88788
10.8906	-4.70967	-5.41479	127469	3.88788
10.9063	-4.79308	-5.26151	127469	3.88788
10.9219	-4.87409	-5.10823	127469	3.88788
10.9375	-4.95271	-4.95495	127469	3.88788
10.9531	-5.02894	-4.80167	127469	3.88788
10.9688	-5.10276	-4.64838	127469	3.88788
10.9844	-5.1742	-4.4951	127469	3.88788
11	-5.24324	-4.34182	127469	3.88788
11.0156	-5.30988	-4.18854	127469	3.88788
11.0313	-5.37413	-4.03526	127469	3.88788
11.0469	-5.43598	-3.88198	127469	3.88788
11.0625	-5.49544	-3.7287	127469	3.88788
11.0781	-5.5525	-3.57542	127469	3.88788
11.0938	-5.60717	-3.42213	127469	3.88788
11.1094	-5.65944	-3.26885	127469	3.88788
11.125	-5.70932	-3.11557	127469	3.88788
11.1406	-5.75681	-2.96229	127469	3.88788
11.1563	-5.80189	-2.80901	127469	3.88788
11.1719	-5.84459	-2.65573	127469	3.88788
11.1875	-5.88489	-2.50245	127469	3.88788
11.2031	-5.92279	-2.34917	127469	3.88788
11.2188	-5.9583	-2.19588	127469	3.88788
11.2344	-5.99141	-2.0426	127469	3.88788
11.25	-6.02213	-1.88932	127469	3.88788
11.2656	-6.05045	-1.73604	127469	3.88788
11.2813	-6.07638	-1.58276	127469	3.88788
11.2969	-6.09991	-1.42948	127469	3.88788
11.3125	-6.12105	-1.2762	127469	3.88788
11.3281	-6.13979	-1.12292	127469	3.88788
11.3438	-6.15614	-0.969635	127469	3.88788
11.3594	-6.1701	-0.816354	127469	3.88788
11.375	-6.18165	-0.663072	127469	3.88788
11.3906	-6.19082	-0.509791	127469	3.88788
11.4063	-6.19758	-0.35651	127469	3.88788
11.4219	-6.20196	-0.203229	127469	3.88788
11.4375	-6.20394	-0.0499474	127469	3.88788
11.4531	-6.20352	0.103334	127469	3.88788
11.4688	-6.20071	0.256615	127469	3.88788
11.4844	-6.1955	0.409896	127469	3.88788
11.5	-6.1879	0.563178	127469	3.88788
11.5156	-6.1779	0.716459	127469	3.88788
11.5313	-6.16551	0.86974	127469	3.88788
11.5469	-6.15072	1.02302	127469	3.88788
11.5625	-6.13354	1.1763	127469	3.88788
11.5781	-6.11396	1.32958	127469	3.88788
11.5938	-6.09199	1.48287	127469	3.88788
11.6094	-6.06762	1.63615	127469	3.88788
11.625	-6.04086	1.78943	127469	3.88788
11.6406	-6.0117	1.94271	127469	3.88788
11.6563	-5.98015	2.09599	127469	3.88788
11.6719	-5.9462	2.24927	127469	3.88788
11.6875	-5.90986	2.40255	127469	3.88788
11.7031	-5.87112	2.55583	127469	3.88788
11.7188	-5.82999	2.70912	127469	3.88788
11.7344	-5.78646	2.8624	127469	3.88788
11.75	-5.74054	3.01568	127469	3.88788
11.7656	-5.69222	3.16896	127469	3.88788
11.7813	-5.64151	3.32224	127469	3.88788
11.7969	-5.5884	3.47552	127469	3.88788
11.8125	-5.5329	3.6288	127469	3.88788
11.8281	-5.475	3.78208	127469	3.88788
11.8438	-5.41471	3.93537	127469	3.88788
11.8594	-5.35202	4.08865	127469	3.88788
11.875	-5.28694	4.24193	127469	3.88788
11.8906	-5.21946	4.39521	127469	3.88788
11.9063	-5.14959	4.54849	127469	3.88788
11.9219	-5.07732	4.70177	127469	3.88788
11.9375	-5.00266	4.85505	127469	3.88788
11.9531	-4.9256	5.00833	127469	3.88788
11.9688	-4.84615	5.16162	127469	3.88788
11.9844	-4.7643	5.3149	127469	3.88788
12	-4.68006	5.46818	127469	3.88788
12.0156	-4.59342	5.62146	127469	3.88788
12.0313	-4.50439	5.77474	127469	3.88788
12.0469	-4.41296	5.92802	127469	3.88788
12.0625	-4.31914	6.0813	127469	3.88788
12.0781	-4.22292	6.23458	127469	3.88788
12.0938	-4.12431	6.38787	127469	3.88788
12.1094	-4.0233	6.54115	127469	3.88788
12.125	-3.9199	6.69443	127469	3.88788
12.1406	-3.8141	6.84771	127469	3.88788
12.1563	-3.7059	7.00099	127469	3.88788
12.1719	-3.59532	7.15427	127469	3.88788
12.1875	-3.48233	7.30755	127469	3.88788
12.2031	-3.36696	7.46083	127469	3.88788
12.2188	-3.24918	7.61412	127469	3.88788
12.2344	-3.12901	7.7674	127469	3.88788
12.25	-3.00645	7.92068	127469	3.88788
12.2656	-2.88149	8.07396	127469	3.88788
12.2813	-2.75414	8.22724	127469	3.88788
12.2969	-2.62439	8.38052	127469	3.88788
12.3125	-2.49225	8.5338	127469	3.88788
12.3281	-2.35771	8.68708	127469	3.88788
12.3438	-2.22078	8.84037	127469	3.88788
12.3594	-2.08145	8.99365	127469	3.88788
12.375	-1.93973	9.14693	127469	3.88788
12.3906	-1.79561	9.30021	127469	3.88788
12.4063	-1.64909	9.45349	127469	3.88788
12.4219	-1.50019	9.60677	127469	3.88788
12.4375	-1.34888	9.76005	127469	3.88788
12.4531	-1.19518	9.91333	127469	3.88788
12.4688	-1.03909	10.0666	127469	3.88788
12.4844	-0.880605	10.2191	129509	2043.99
12.5	-0.719786	10.3635	131130	3665.11
12.5156	-0.55684	10.49	131764	4299.2
12.5313	-0.392109	10.5907	131681	4216.48
12.5469	-0.226048	10.6593	131133	3667.85
12.5625	-0.0591937	10.6918	130341	2875.74
12.5781	0.107872	10.6862	129490	2024.8
12.5938	0.274554	10.6429	128719	1254.25
12.6094	0.44028	10.5644	128118	653.162
12.625	0.604533	10.4555	127724	259.394
12.6406	0.766889	10.3228	127527	62.0019
12.6563	0.927042	10.1751	127471	6.43721
12.6719	1.08483	10.022	127470	4.83971
12.6875	1.24023	9.8687	127470	4.83971
12.7031	1.39323	9.71542	127470	4.83971
12.7188	1.54384	9.56214	127470	4.83971
12.7344	1.69205	9.40886	127470	4.83971
12.75	1.83786	9.25558	127470	4.83971
12.7656	1.98128	9.1023	127470	4.83971
12.7813	2.12231	8.94902	127470	4.83971
12.7969	2.26094	8.79574	127470	4.83971
12.8125	2.39718	8.64245	127470	4.83971
12.8281	2.53102	8.48917	127470	4.83971
12.8438	2.66246	8.33589	127470	4.83971
12.8594	2.79151	8.18261	127470	4.83971
12.875	2.91817	8.02933	127470	4.83971
12.8906	3.04243	7.87605	127470	4.83971
12.9063	3.1643	7.72277	127470	4.83971
12.9219	3.28377	7.56949	127470	4.83971
12.9375	3.40084	7.4162	127470	4.83971
12.9531	3.51552	7.26292	127470	4.83971
12.9688	3.62781	7.10964	127470	4.83971
12.9844	3.7377	6.95636	127470	4.83971
13	3.8452	6.80308	127470	4.83971
13.0156	3.9503	6.6498	127470	4.83971
13.0313	4.053	6.49652	127470	4.83971
13.0469	4.15331	6.34324	127470	4.83971
13.0625	4.25123	6.18995	127470	4.83971
13.0781	4.34675	6.03667	127470	4.83971
13.0938	4.43987	5.88339	127470	4.83971
13.1094	4.5306	5.73011	127470	4.83971
13.125	4.61894	5.57683	127470	4.83971
13.1406	4.70488	5.42355	127470	4.83971
13.1563	4.78843	5.27027	127470	4.83971
13.1719	4.86958	5.11699	127470	4.83971
13.1875	4.94833	4.9637	127470	4.83971
13.2031	5.02469	4.81042	127470	4.83971
13.2188	5.09866	4.65714	127470	4.83971
13.2344	5.17023	4.50386	127470	4.83971
13.25	5.2394	4.35058	127470	4.83971
13.2656	5.30618	4.1973	127470	4.83971
13.2813	5.37057	4.04402	127470	4.83971
13.2969	5.43256	3.89074	127470	4.83971
13.3125	5.49215	3.73745	127470	4.83971
13.3281	5.54935	3.58417	127470	4.83971
13.3438	5.60416	3.43089	127470	4.83971
13.3594	5.65657	3.27761	127470	4.83971
13.375	5.70658	3.12433	127470	4.83971
13.3906	5.7542	2.97105	127470	4.83971
13.4063	5.79943	2.81777	127470	4.83971
13.4219	5.84226	2.66449	127470	4.83971
13.4375	5.88269	2.5112	127470	4.83971
13.4531	5.92074	2.35792	127470	4.83971
13.4688	5.95638	2.20464	127470	4.83971
13.4844	5.98963	2.05136	127470	4.83971
13.5	6.02049	1.89808	127470	4.83971
13.5156	6.04895	1.7448	127470	4.83971
13.5313	6.07501	1.59152	127470	4.83971
13.5469	6.09868	1.43824	127470	4.83971
13.5625	6.11995	1.28495	127470	4.83971
13.5781	6.13883	1.13167	127470	4.83971
13.5938	6.15532	0.978392	127470	4.83971
13.6094	6.16941	0.82511	127470	4.83971
13.625	6.1811	0.671829	127470	4.83971
13.6406	6.1904	0.518548	127470	4.83971
13.6563	6.19731	0.365267	127470	4.83971
13.6719	6.20182	0.211985	127470	4.83971
13.6875	6.20393	0.0587041	127470	4.83971
13.7031	6.20365	-0.0945772	127470	4.83971
13.7188	6.20098	-0.247858	127470	4.83971
13.7344	6.19591	-0.40114	127470	4.83971
13.75	6.18844	-0.554421	127470	4.83971
13.7656	6.17858	-0.707702	127470	4.83971
13.7813	6.16633	-0.860983	127470	4.83971
13.7969	6.15168	-1.01426	127470	4.83971
13.8125	6.13463	-1.16755	127470	4.83971
13.8281	6.11519	-1.32083	127470	4.83971
13.8438	6.09336	-1.47411	127470	4.83971
13.8594	6.06912	-1.62739	127470	4.83971
13.875	6.0425	-1.78067	127470	4.83971
13.8906	6.01348	-1.93395	127470	4.83971
13.9063	5.98206	-2.08723	127470	4.83971
13.9219	5.94825	-2.24051	127470	4.83971
13.9375	5.91205	-2.3938	127470	4.83971
13.9531	5.87345	-2.54708	127470	4.83971
13.9688	5.83245	-2.70036	127470	4.83971
13.9844	5.78906	-2.85364	127470	4.83971
14	5.74327	-3.00692	127470	4.83971
14.0156	5.69509	-3.1602	127470	4.83971
14.0313	5.64452	-3.31348	127470	4.83971
14.0469	5.59155	-3.46676	127470	4.83971
14.0625	5.53618	-3.62005	127470	4.83971
14.0781	5.47842	-3.77333	127470	4.83971
14.0938	5.41827	-3.92661	127470	4.83971
14.1094	5.35571	-4.07989	127470	4.83971
14.125	5.29077	-4.23317	127470	4.83971
14.1406	5.22343	-4.38645	127470	4.83971
14.1563	5.15369	-4.53973	127470	4.83971
14.1719	5.08156	-4.69301	127470	4.83971
14.1875	5.00704	-4.8463	127470	4.83971
14.2031	4.93011	-4.99958	127470	4.83971
14.2188	4.8508	-5.15286	127470	4.83971
14.2344	4.76909	-5.30614	127470	4.83971
14.25	4.68498	-5.45942	127470	4.83971
14.2656	4.59848	-5.6127	127470	4.83971
14.2813	4.50958	-5.76598	127470	4.83971
14.2969	4.41829	-5.91926	127470	4.83971
14.3125	4.32461	-6.07255	127470	4.83971
14.3281	4.22853	-6.22583	127470	4.83971
14.3438	4.13005	-6.37911	127470	4.83971
14.3594	4.02918	-6.53239	127470	4.83971
14.375	3.92591	-6.68567	127470	4.83971
14.3906	3.82025	-6.83895	127470	4.83971
14.4063	3.7122	-6.99223	127470	4.83971
14.4219	3.60175	-7.14551	127470	4.83971
14.4375	3.4889	-7.2988	127470	4.83971
14.4531	3.37366	-7.45208	127470	4.83971
14.4688	3.25602	-7.60536	127470	4.83971
14.4844	3.13599	-7.75864	127470	4.83971
14.5	3.01356	-7.91192	127470	4.83971
14.5156	2.88874	-8.0652	127470	4.83971
14.5313	2.76153	-8.21848	127470	4.83971
14.5469	2.63192	-8.37176	127470	4.83971
14.5625	2.49991	-8.52505	127470	4.83971
14.5781	2.36551	-8.67833	127470	4.83971
14.5938	2.22871	-8.83161	127470	4.83971
14.6094	2.08952	-8.98489	127470	4.83971
14.625	1.94793	-9.13817	127470	4.83971
14.6406	1.80395	-9.29145	127470	4.83971
14.6563	1.65758	-9.44473	127470	4.83971
14.6719	1.5088	-9.59801	127470	4.83971
14.6875	1.35764	-9.7513	127470	4.83971
14.7031	1.20408	-9.90458	127470	4.83971
14.7188	1.04812	-10.0579	127470	4.83971
14.7344	0.889769	-10.2105	127477	12.0828
14.75	0.729079	-10.3556	127559	93.8896
14.7656	0.566246	-10.4834	127799	333.858
14.7813	0.401606	-10.5858	128242	776.9
14.7969	0.235607	-10.6564	128888	1422.92
14.8125	0.0687816	-10.691	129687	2222.17
14.8281	-0.0982893	-10.6877	130538	3073.6
14.8438	-0.26501	-10.6464	131292	3826.81
14.8594	-0.430806	-10.5698	131752	4287.53
14.875	-0.595157	-10.4625	131691	4225.8
14.8906	-0.757632	-10.331	130850	3385.43
14.9063	-0.917918	-10.1838	128958	1492.8
14.9219	-1.07585	-10.0308	127470	5.39455
14.9375	-1.23138	-9.87752	127470	5.39455
14.9531	-1.38452	-9.72424	127470	5.39455
14.9688	-1.53526	-9.57096	127470	5.39455
14.9844	-1.68361	-9.41768	127470	5.39455
15	-1.82957	-9.2644	127470	5.39455
15.0156	-1.97312	-9.11112	127470	5.39455
15.0313	-2.11429	-8.95784	127470	5.39455
15.0469	-2.25306	-8.80455	127470	5.39455
15.0625	-2.38943	-8.65127	127470	5.39455
15.0781	-2.52341	-8.49799	127470	5.39455
15.0938	-2.65499	-8.34471	127470	5.39455
15.1094	-2.78418	-8.19143	127470	5.39455
15.125	-2.91097	-8.03815	127470	5.39455
15.1406	-3.03537	-7.88487	127470	5.39455
15.1563	-3.15738	-7.73159	127470	5.39455
15.1719	-3.27699	-7.5783	127470	5.39455
15.1875	-3.3942	-7.42502	127470	5.39455
15.2031	-3.50902	-7.27174	127470	5.39455
15.2188	-3.62144	-7.11846	127470	5.39455
15.2344	-3.73147	-6.96518	127470	5.39455
15.25	-3.8391	-6.8119	127470	5.39455
15.2656	-3.94434	-6.65862	127470	5.39455
15.2813	-4.04718	-6.50534	127470	5.39455
15.2969	-4.14763	-6.35205	127470	5.39455
15.3125	-4.24569	-6.19877	127470	5.39455
15.3281	-4.34134	-6.04549	127470	5.39455
15.3438	-4.43461	-5.89221	127470	5.39455
15.3594	-4.52548	-5.73893	127470	5.39455
15.375	-4.61395	-5.58565	127470	5.39455
15.3906	-4.70003	-5.43237	127470	5.39455
15.4063	-4.78371	-5.27909	127470	5.39455
15.4219	-4.865	-5.1258	127470	5.39455
15.4375	-4.94389	-4.97252	127470	5.39455
15.4531	-5.02039	-4.81924	127470	5.39455
15.4688	-5.09449	-4.66596	127470	5.39455
15.4844	-5.1662	-4.51268	127470	5.39455
15.5	-5.23551	-4.3594	127470	5.39455
15.5156	-5.30243	-4.20612	127470	5.39455
15.5313	-5.36696	-4.05284	127470	5.39455
15.5469	-5.42908	-3.89955	127470	5.39455
15.5625	-5.48882	-3.74627	127470	5.39455
15.5781	-5.54615	-3.59299	127470	5.39455
15.5938	-5.6011	-3.43971	127470	5.39455
15.6094	-5.65365	-3.28643	127470	5.39455
15.625	-5.7038	-3.13315	127470	5.39455
15.6406	-5.75156	-2.97987	127470	5.39455
15.6563	-5.79692	-2.82659	127470	5.39455
15.6719	-5.83989	-2.6733	127470	5.39455
15.6875	-5.88046	-2.52002	127470	5.39455
15.7031	-5.91864	-2.36674	127470	5.39455
15.7188	-5.95442	-2.21346	127470	5.39455
15.7344	-5.98781	-2.06018	127470	5.39455
15.75	-6.0188	-1.9069	127470	5.39455
15.7656	-6.0474	-1.75362	127470	5.39455
15.7813	-6.0736	-1.60034	127470	5.39455
15.7969	-6.09741	-1.44705	127470	5.39455
15.8125	-6.11882	-1.29377	127470	5.39455
15.8281	-6.13784	-1.14049	127470	5.39455
15.8438	-6.15446	-0.987211	127470	5.39455
15.8594	-6.16869	-0.833929	127470	5.39455
15.875	-6.18052	-0.680648	127470	5.39455
15.8906	-6.18996	-0.527367	127470	5.39455
15.9063	-6.197	-0.374086	127470	5.39455
15.9219	-6.20165	-0.220804	127470	5.39455
15.9375	-6.2039	-0.0675232	127470	5.39455
15.9531	-6.20376	0.0857581	127470	5.39455
